# Russian surface-form frequency lexicon with lemmas.
# Source: hermitdave/FrequencyWords 2018 ru_50k (OpenSubtitles), CC-BY-SA 4.0.
# Rebuilt via: lexicon-builder ru_50k.txt -o ... + scripts/lemmatize.py (pymorphy3/OpenCorpora, MIT)
я	я	5081568	NPRO,1per sing,nomn
не	не	4334804	PRCL
что	что	3552532	CONJ
в	в	2953981	PREP
и	и	2917112	CONJ
ты	ты	2723798	NPRO,2per sing,nomn
это	это	2640455	PRCL
на	на	1655351	PREP
с	с	1509844	PREP
он	он	1283590	NPRO,masc,3per,Anph sing,nomn
мы	мы	1214875	NPRO,1per plur,nomn
как	как	1174339	CONJ
вы	вы	1159742	NPRO,2per plur,nomn
да	да	1142662	PRCL
мне	я	1077059	NPRO,1per sing,datv
у	у	1055142	PREP
нет	нет	1049935	PRED,pres
меня	я	1010408	NPRO,1per sing,accs
так	так	995583	CONJ
но	но	990116	CONJ
а	а	970725	CONJ
его	он	752429	NPRO,masc,3per,Anph sing,accs
все	всё	722378	PRCL
она	она	713014	NPRO,femn,3per,Anph sing,nomn
тебя	ты	702607	NPRO,2per sing,accs
о	о	695076	PREP
если	если	631191	CONJ
за	за	598915	PREP
бы	бы	594884	PRCL
тебе	ты	588450	NPRO,2per sing,datv
они	они	534808	NPRO,3per,Anph plur,nomn
чтобы	чтобы	479027	CONJ
же	же	469511	PRCL
есть	есть	450986	INFN,impf,tran
просто	просто	450715	PRCL
из	из	446361	PREP
к	к	434512	PREP
для	для	427940	PREP
ну	ну	427366	PRCL
когда	когда	421340	CONJ
хорошо	хорошо	420527	ADVB,Prdx
здесь	здесь	410266	ADVB,Prdx
по	по	397721	PREP
был	быть	393771	VERB,impf,intr masc,sing,past,indc
знаю	знать	389247	VERB,impf,tran sing,1per,pres,indc
то	то	385315	CONJ
только	только	383956	ADVB
было	быть	371183	VERB,impf,intr neut,sing,past,indc
вас	вы	357146	NPRO,2per plur,accs
может	мочь	357142	VERB,impf,intr sing,3per,pres,indc
нас	мы	351238	NPRO,1per plur,gent
вот	вот	340913	PRCL
от	от	339856	PREP
быть	быть	313741	INFN,impf,intr
кто	кто	299982	NPRO,masc sing,nomn
будет	быть	298842	VERB,impf,intr sing,3per,futr,indc
почему	почему	295613	ADVB,Ques
вам	вы	289733	NPRO,2per plur,datv
их	они	287229	NPRO,3per,Anph plur,accs
очень	очень	281777	ADVB
могу	мочь	280691	VERB,impf,intr sing,1per,pres,indc
уже	уже	278258	ADVB
спасибо	спасибо	273631	INTJ
или	или	272568	CONJ
нам	мы	269029	NPRO,1per plur,datv
еще	ещё	268978	ADVB
там	там	264211	ADVB,Dmns
нужно	нужно	255361	PRED,pres
сейчас	сейчас	254448	ADVB
где	где	254081	ADVB,Ques
чем	чем	253382	CONJ
хочу	хотеть	252103	VERB,impf,tran sing,1per,pres,indc
ничего	ничего	248396	ADVB
этого	это	247989	NPRO,neut sing,gent
была	быть	237832	VERB,impf,intr femn,sing,past,indc
мой	мой	234913	ADJF,Apro masc,sing,nomn
ее	она	232065	NPRO,femn,3per,Anph sing,accs
ладно	ладный	229994	ADJS,Qual neut,sing
знаешь	знать	228414	VERB,impf,tran sing,2per,pres,indc
п	п	227298	NOUN,inan,femn,Fixd,Abbr sing,nomn
до	до	221120	PREP
этом	это	220811	NPRO,neut sing,loct
потому	потому	218628	ADVB,Dmns
теперь	теперь	216086	ADVB
думаю	думать	205407	VERB,impf,intr sing,1per,pres,indc
больше	большой	202968	COMP,Qual
со	с	196362	PREP Vpre
раз	раз	193840	NOUN,inan,masc plur,gent
ему	он	189816	NPRO,masc,3per,Anph sing,datv
надо	надо	189178	PRED,pres
время	время	189069	NOUN,inan,neut sing,accs
этот	этот	184623	ADJF,Subx,Apro,Anph inan,masc,sing,accs
ли	ли	180914	CONJ
пока	пока	179122	ADVB
даже	даже	178504	PRCL
привет	привет	177992	NOUN,inan,masc sing,nomn
сказал	сказать	174338	VERB,perf,tran masc,sing,past,indc
себя	себя	172907	NPRO,Anph sing,accs
должен	должный	169695	ADJS masc,sing
тоже	тоже	167958	PRCL
хочешь	хотеть	166264	VERB,impf,tran sing,2per,pres,indc
давай	давать	165828	VERB,impf,tran sing,impr,excl
что-то	что-то	162833	ADVB
никогда	никогда	161918	ADVB
эй	эй	161851	INTJ
того	тот	161739	ADJF,Subx,Apro,Anph neut,sing,gent
тогда	тогда	159343	ADVB,Dmns
него	он	155644	NPRO,masc,3per,Anph sing,gent,Af-p
ни	ни	155085	PRCL
тут	тут	154726	ADVB,Dmns
были	быть	154615	VERB,impf,intr plur,past,indc
конечно	конечно	154334	CONJ,Prnt
правда	правда	154307	PRCL
об	о	153646	PREP Vpre
моя	мой	146670	ADJF,Apro femn,sing,nomn
пожалуйста	пожалуйста	140855	PRCL
тобой	ты	139908	NPRO,2per sing,ablt
сказать	сказать	139229	INFN,perf,tran
сегодня	сегодня	136912	ADVB
один	один	135623	ADJF,Apro,Anum masc,sing,nomn
лучше	хороший	132478	COMP,Qual
можешь	мочь	131596	VERB,impf,intr sing,2per,pres,indc
сюда	сюда	130931	ADVB
мной	я	130107	NPRO,1per sing,ablt
значит	значит	127095	CONJ,Prnt
сделать	сделать	126604	INFN,perf,tran
всегда	всегда	126030	ADVB
дело	дело	123228	NOUN,inan,neut sing,nomn
можно	можно	123056	PRED,pres
ей	она	123047	NPRO,femn,3per,Anph sing,datv
должны	должный	120950	ADJS plur
порядке	порядок	120906	NOUN,inan,masc sing,loct
без	без	119843	PREP
день	день	118088	NOUN,inan,masc sing,accs
том	тот	117709	ADJF,Subx,Apro,Anph neut,sing,loct
буду	быть	115292	VERB,impf,intr sing,1per,futr,indc
делать	делать	112020	INFN,impf,tran
хотел	хотеть	111407	VERB,impf,tran masc,sing,past,indc
чего	что	111052	NPRO,neut sing,gent
эти	этот	109769	ADJF,Subx,Apro,Anph plur,nomn
много	много	109541	ADVB,Prdx
после	после	109028	PREP
